Name,Condition,Price,Location,Link,Description,Car_code,Năm sản xuất:,Tình trạng:,Xuất xứ:,Kiểu dáng:,Động cơ:,Màu ngoại thất:,Màu nội thất:,Số chỗ ngồi:,Số cửa:,Số Km đã đi:
Mercedes Benz E class E240 - 2003, Xe cũ,170 Triệu,Hà Nội,https://bonbanh.com/xe-mercedes_benz-e_class-e240-2003-4982472," *Xe nhập khẩu, màu đen, máy xăng 2.6 L, số tự động, đã đi 166,000 km ... ",Mã: 4982472,2003.0,Xe đã dùng,Nhập khẩu,Sedan,Xăng  2.6 L,Đen,Đen,5 chỗ,4 cửa,"166,000 Km"
Toyota Corona GL 2.0 - 1993, Xe cũ,79 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-corona-gl-2.0-1993-5419368," *Xe nhập khẩu, màu ghi, máy xăng 2.0 L, số tay ... ",Mã: 5419368,1993.0,Xe đã dùng,Nhập khẩu,Sedan,Xăng  2.0 L,Ghi,Ghi,5 chỗ,4 cửa,0 Km
Toyota Corolla altis 1.8G AT - 2018, Xe cũ,525 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-at-2018-5338361," *Xe lắp ráp trong nước, màu đen, máy xăng 1.8 L, số tự động, đã đi 80,000 km ... ",Mã: 5338361,2018.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  1.8 L,Đen,Kem,5 chỗ,4 cửa,"80,000 Km"
VinFast Fadil 1.4 AT - 2021, Xe cũ,335 Triệu,Hà Nội,https://bonbanh.com/xe-vinfast-fadil-1.4-at-2021-5445090," *Xe lắp ráp trong nước, màu xanh, máy xăng 1.4 L, số tự động, đã đi 25,000 km ... ",Mã: 5445090,2021.0,Xe đã dùng,Lắp ráp trong nước,Hatchback,Xăng  1.4 L,Xanh,Đen,5 chỗ,5 cửa,"25,000 Km"
Lexus ES 250 F Sport - 2023, Xe mới,2 Tỷ 710 Triệu,Hà Nội,https://bonbanh.com/xe-lexus-es-250-f-sport-2023-5240190," *Xe nhập khẩu, màu trắng, máy xăng 2.5 L, số tự động ... ",Mã: 5240190,2023.0,Xe mới,Nhập khẩu,Sedan,Xăng  2.5 L,Trắng,Nhiều màu,5 chỗ,4 cửa,
Mazda CX5 Luxury 2.0 AT - 2023, Xe mới,799 Triệu,Thanh Hóa,https://bonbanh.com/xe-mazda-cx5-luxury-2.0-at-2023-5408474," *Xe lắp ráp trong nước, màu trắng, máy xăng 2.0 L, số tự động ... ",Mã: 5408474,2023.0,Xe mới,Lắp ráp trong nước,SUV,Xăng  2.0 L,Trắng,Đen,5 chỗ,5 cửa,
Mercedes Benz S class S400L - 2015, Xe cũ,1 Tỷ 350 Triệu,TP HCM,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2015-5426032," *Xe lắp ráp trong nước, màu trắng, máy xăng 3.0 L, số tự động, đã đi 80,000 km ... ",Mã: 5426032,2015.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  3.0 L,Trắng,Nâu,5 chỗ,4 cửa,"80,000 Km"
Mercedes Benz GLE Class GLE 400 4Matic - 2016, Xe cũ,1 Tỷ 239 Triệu,TP HCM,https://bonbanh.com/xe-mercedes_benz-gle_class-gle-400-4matic-2016-5427388," *Xe nhập khẩu, màu đen, máy xăng 3.0 L, số tự động, đã đi 94,000 km ... ",Mã: 5427388,2016.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  3.0 L,Đen,Kem,5 chỗ,5 cửa,"94,000 Km"
Hyundai Elantra 2.0 AT - 2019, Xe cũ,475 Triệu,Hà Nội,https://bonbanh.com/xe-hyundai-elantra-2.0-at-2019-5453794," *Xe lắp ráp trong nước, màu đen, máy xăng 2.0 L, số tự động, đã đi 54,000 km ... ",Mã: 5453794,2019.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  2.0 L,Đen,Kem,5 chỗ,4 cửa,"54,000 Km"
Porsche Cayenne 3.6 V6 - 2008, Xe cũ,680 Triệu,Hà Nội,https://bonbanh.com/xe-porsche-cayenne-3.6-v6-2008-5092945," *Xe nhập khẩu, màu xám, máy xăng 3.6 L, số tự động, đã đi 98,698 km ... ",Mã: 5092945,2008.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  3.6 L,Xám,Đen,5 chỗ,5 cửa,"98,698 Km"
Mitsubishi Xpander Cross 1.5 AT - 2023, Xe mới,612 Triệu,Hà Nội,https://bonbanh.com/xe-mitsubishi-xpander-cross-1.5-at-2023-5335447," *Xe nhập khẩu, màu cam, máy xăng 1.5 L, số tự động ... ",Mã: 5335447,2023.0,Xe mới,Nhập khẩu,SUV,Xăng  1.5 L,Cam,Đen,7 chỗ,5 cửa,
Mercedes Benz GLE Class GLE 400 4Matic Exclusive - 2016, Xe cũ,1 Tỷ 530 Triệu,Hà Nội,https://bonbanh.com/xe-mercedes_benz-gle_class-gle-400-4matic-exclusive-2016-5410534," *Xe nhập khẩu, màu đen, máy xăng 3.0 L, số tự động, đã đi 78,000 km ... ",Mã: 5410534,2016.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  3.0 L,Đen,Nâu,5 chỗ,5 cửa,"78,000 Km"
Toyota Land Cruiser 3.5 V6 - 2023, Xe mới,4 Tỷ 750 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2023-5195228," *Xe nhập khẩu, màu trắng, máy xăng 3.4 L, số tự động ... ",Mã: 5195228,2023.0,Xe mới,Nhập khẩu,SUV,Xăng  3.4 L,Trắng,Kem,7 chỗ,5 cửa,
MG ZS Luxury 1.5 AT 2WD - 2023, Xe mới,520 Triệu,Hà Nội,https://bonbanh.com/xe-mg-zs-luxury-1.5-at-2wd-2023-5363052," *Xe nhập khẩu, màu trắng, máy xăng 1.5 L, số tự động ... ",Mã: 5363052,2023.0,Xe mới,Nhập khẩu,Crossover,Xăng  1.5 L,Trắng,Đen,5 chỗ,5 cửa,
Ford Transit Tiêu chuẩn - 2023, Xe mới,764 Triệu,Hà Nội,https://bonbanh.com/xe-ford-transit-tieu-chuan-2023-2978604," *Xe lắp ráp trong nước, màu bạc, máy dầu 2.2 L, số tay ... ",Mã: 2978604,2023.0,Xe mới,Lắp ráp trong nước,Van/Minivan,Dầu  2.2 L,Bạc,Kem,16 chỗ,4 cửa,
Lexus ES 300h - 2024, Xe mới,3 Tỷ 140 Triệu,Hà Nội,https://bonbanh.com/xe-lexus-es-300h-2024-5411055," *Xe nhập khẩu, màu trắng, xe hybrid 2.5 L, số tự động ... ",Mã: 5411055,2024.0,Xe mới,Nhập khẩu,Sedan,Hybrid  2.5 L,Trắng,Nâu,5 chỗ,4 cửa,
Mitsubishi Xpander Premium 1.5 AT - 2023, Xe mới,578 Triệu,Hà Nội,https://bonbanh.com/xe-mitsubishi-xpander-premium-1.5-at-2023-5239277," *Xe nhập khẩu, màu trắng, máy xăng 1.5 L, số tự động ... ",Mã: 5239277,2023.0,Xe mới,Nhập khẩu,SUV,Xăng  1.5 L,Trắng,Đen,7 chỗ,5 cửa,
Toyota Land Cruiser 3.5 V6 - 2023, Xe mới,4 Tỷ 286 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2023-5355576," *Xe nhập khẩu, màu đen, máy xăng 3.4 L, số tự động ... ",Mã: 5355576,2023.0,Xe mới,Nhập khẩu,SUV,Xăng  3.4 L,Đen,Kem,7 chỗ,5 cửa,
Toyota Innova 2.0 Venturer - 2018, Xe cũ,549 Triệu,TP HCM,https://bonbanh.com/xe-toyota-innova-2.0-venturer-2018-5434597," *Xe lắp ráp trong nước, màu đen, máy xăng 2.0 L, số tự động, đã đi 110,000 km ... ",Mã: 5434597,2018.0,Xe đã dùng,Lắp ráp trong nước,Crossover,Xăng  2.0 L,Đen,Đen,8 chỗ,5 cửa,"110,000 Km"
Porsche Cayenne S - 2010, Xe cũ,940 Triệu,Thái Nguyên,https://bonbanh.com/xe-porsche-cayenne-s-2010-5414770," *Xe nhập khẩu, màu trắng, máy xăng 4.8 L, số tự động, đã đi 140,000 km ... ",Mã: 5414770,2010.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  4.8 L,Trắng,Vàng,5 chỗ,5 cửa,"140,000 Km"
Lexus ES 250 F Sport - 2023, Xe mới,2 Tỷ 710 Triệu,Hà Nội,https://bonbanh.com/xe-lexus-es-250-f-sport-2023-5240220," *Xe nhập khẩu, màu xanh, máy xăng 2.5 L, số tự động ... ",Mã: 5240220,2023.0,Xe mới,Nhập khẩu,Sedan,Xăng  2.5 L,Xanh,Nâu,5 chỗ,4 cửa,
Toyota Corolla altis 2.0V - 2011, Xe cũ,389 Triệu,Ninh Bình,https://bonbanh.com/xe-toyota-corolla_altis-2.0v-2011-5443802," *Xe lắp ráp trong nước, màu đen, máy xăng 2.0 L, số tự động, đã đi 90,000 km ... ",Mã: 5443802,2011.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  2.0 L,Đen,-,5 chỗ,4 cửa,"90,000 Km"
Toyota Corolla Cross 1.8V - 2024, Xe mới,836 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2024-5387037," *Xe nhập khẩu, màu trắng, máy xăng 1.8 L, số tự động ... ",Mã: 5387037,2024.0,Xe mới,Nhập khẩu,SUV,Xăng  1.8 L,Trắng,Đen,5 chỗ,5 cửa,
BMW 5 Series 530i M Sport - 2022, Xe mới,2 Tỷ 769 Triệu,Hà Nội,https://bonbanh.com/xe-bmw-5_series-530i-m-sport-2022-4872216," *Xe nhập khẩu, màu xám, máy xăng 2.0 L, số tự động ... ",Mã: 4872216,2022.0,Xe mới,Nhập khẩu,Sedan,Xăng  2.0 L,Xám,Đen,5 chỗ,4 cửa,
Mazda CX5 Luxury 2.0 AT - 2023, Xe mới,799 Triệu,Thanh Hóa,https://bonbanh.com/xe-mazda-cx5-luxury-2.0-at-2023-5408481," *Xe lắp ráp trong nước, màu đỏ, máy xăng 2.0 L, số tự động ... ",Mã: 5408481,2023.0,Xe mới,Lắp ráp trong nước,SUV,Xăng  2.0 L,Đỏ,-,5 chỗ,5 cửa,
Mercedes Benz V class V220d CDI - 2017, Xe cũ,1 Tỷ 290 Triệu,TP HCM,https://bonbanh.com/xe-mercedes_benz-v_class-v220d-cdi-2017-5422991," *Xe nhập khẩu, màu trắng, máy dầu 2.1 L, số tự động, đã đi 50,000 km ... ",Mã: 5422991,2017.0,Xe đã dùng,Nhập khẩu,Van/Minivan,Dầu  2.1 L,Trắng,Đen,7 chỗ,5 cửa,"50,000 Km"
Ford Ranger Raptor 2.0L 4x4 AT - 2022, Xe cũ,990 Triệu,TP HCM,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2022-5426894," *Xe nhập khẩu, màu xám, máy dầu 2.0 L, số tự động, đã đi 38,500 km ... ",Mã: 5426894,2022.0,Xe đã dùng,Nhập khẩu,Bán tải / Pickup,Dầu  2.0 L,Xám,Đen,5 chỗ,4 cửa,"38,500 Km"
Ford Everest Titanium 2.0L 4x2 AT - 2023, Xe mới,1 Tỷ 224 Triệu,Hà Nội,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x2-at-2023-5198423," *Xe nhập khẩu, màu đen, máy dầu 2.0 L, số tự động ... ",Mã: 5198423,2023.0,Xe mới,Nhập khẩu,SUV,Dầu  2.0 L,Đen,Đen,7 chỗ,5 cửa,
Toyota Innova 2.0G - 2014, Xe cũ,385 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-innova-2.0g-2014-5338845," *Xe lắp ráp trong nước, màu xám, máy xăng 2.0 L, số tự động, đã đi 100,000 km ... ",Mã: 5338845,2014.0,Xe đã dùng,Lắp ráp trong nước,Crossover,Xăng  2.0 L,Xám,Kem,8 chỗ,5 cửa,"100,000 Km"
Honda City RS 1.5 AT - 2021, Xe cũ,515 Triệu,Hà Nội,https://bonbanh.com/xe-honda-city-rs-1.5-at-2021-5398781," *Xe lắp ráp trong nước, màu xanh, máy xăng 1.5 L, số tự động, đã đi 43,000 km ... ",Mã: 5398781,2021.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  1.5 L,Xanh,Đen,5 chỗ,4 cửa,"43,000 Km"
Porsche Cayenne 3.6 V6 - 2016, Xe cũ,1 Tỷ 850 Triệu,Hà Nội,https://bonbanh.com/xe-porsche-cayenne-3.6-v6-2016-5348877," *Xe nhập khẩu, màu đen, máy xăng 3.6 L, số tự động ... ",Mã: 5348877,2016.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  3.6 L,Đen,Nâu,5 chỗ,5 cửa,0 Km
Toyota Venza 3.5 AWD - 2010, Xe cũ,465 Triệu,TP HCM,https://bonbanh.com/xe-toyota-venza-3.5-awd-2010-5436308," *Xe nhập khẩu, màu trắng, máy xăng 3.5 L, số tự động, đã đi 78,000 km ... ",Mã: 5436308,2010.0,Xe đã dùng,Nhập khẩu,Crossover,Xăng  3.5 L,Trắng,Kem,5 chỗ,5 cửa,"78,000 Km"
Ford Ranger Sport 2.0L 4x4 AT - 2024, Xe mới,799 Triệu,TP HCM,https://bonbanh.com/xe-ford-ranger-sport-2.0l-4x4-at-2024-5019543," *Xe lắp ráp trong nước, màu xám, máy dầu 2.0 L, số tự động ... ",Mã: 5019543,2024.0,Xe mới,Lắp ráp trong nước,Bán tải / Pickup,Dầu  2.0 L,Xám,Đen,5 chỗ,4 cửa,
Mercedes Benz Maybach GLS 480 4Matic - 2023, Xe mới,8 Tỷ 479 Triệu,Hà Nội,https://bonbanh.com/xe-mercedes_benz-maybach-gls-480-4matic-2023-4518980," *Xe nhập khẩu, màu đen, máy xăng 3.0 L, số tự động ... ",Mã: 4518980,2023.0,Xe mới,Nhập khẩu,SUV,Xăng  3.0 L,Đen,Đen,4 chỗ,5 cửa,
LandRover Range Rover Velar R-Dynamic SE 2.0 - 2021, Xe mới,5 Tỷ 90 Triệu,TP HCM,https://bonbanh.com/xe-landrover-range_rover_velar-r-dynamic-se-2.0-2021-3082618," *Xe nhập khẩu, màu trắng, máy xăng 2.0 L, số tự động ... ",Mã: 3082618,2021.0,Xe mới,Nhập khẩu,SUV,Xăng  2.0 L,Trắng,Nâu,5 chỗ,5 cửa,
Mercedes Benz G class G63 AMG - 2023, Xe mới,11 Tỷ 190 Triệu,Hà Nội,https://bonbanh.com/xe-mercedes_benz-g_class-g63-amg-2023-4512889," *Xe nhập khẩu, màu đen, máy xăng 4.0 L, số tự động ... ",Mã: 4512889,2023.0,Xe mới,Nhập khẩu,SUV,Xăng  4.0 L,Đen,Đỏ,5 chỗ,5 cửa,
Lexus ES 300h - 2023, Xe mới,3 Tỷ 140 Triệu,Hà Nội,https://bonbanh.com/xe-lexus-es-300h-2023-5240255," *Xe nhập khẩu, màu trắng, xe hybrid 2.5 L, số tự động ... ",Mã: 5240255,2023.0,Xe mới,Nhập khẩu,Sedan,Hybrid  2.5 L,Trắng,Màu khác,5 chỗ,4 cửa,
Mercedes Benz GLC 300 4Matic - 2023, Xe mới,2 Tỷ 650 Triệu,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2023-5112522," *Xe lắp ráp trong nước, màu đỏ, máy xăng 2.0 L, số tự động ... ",Mã: 5112522,2023.0,Xe mới,Lắp ráp trong nước,SUV,Xăng  2.0 L,Đỏ,Nâu,5 chỗ,5 cửa,
Toyota Land Cruiser 3.5 V6 - 2023, Xe mới,4 Tỷ 286 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2023-3849218," *Xe nhập khẩu, màu đen, máy xăng 3.4 L, số tự động ... ",Mã: 3849218,2023.0,Xe mới,Nhập khẩu,SUV,Xăng  3.4 L,Đen,Kem,7 chỗ,5 cửa,
Mercedes Benz Maybach S450 4Matic - 2023, Xe mới,7 Tỷ 899 Triệu,Hà Nội,https://bonbanh.com/xe-mercedes_benz-maybach-s450-4matic-2023-4757502," *Xe nhập khẩu, màu đen, máy xăng 3.0 L, số tự động ... ",Mã: 4757502,2023.0,Xe mới,Nhập khẩu,Sedan,Xăng  3.0 L,Đen,Nhiều màu,5 chỗ,5 cửa,
Toyota Prado GX 2.7 AT - 2007, Xe cũ,369 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-prado-gx-2.7-at-2007-5429214," *Xe nhập khẩu, màu đen, máy xăng 2.7 L, số tự động, đã đi 180,000 km ... ",Mã: 5429214,2007.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  2.7 L,Đen,Xám,7 chỗ,5 cửa,"180,000 Km"
Mercedes Benz GLC 300 4Matic - 2020, Xe cũ,1 Tỷ 699 Triệu,TP HCM,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2020-5439868," *Xe lắp ráp trong nước, màu đen, máy xăng 2.0 L, số tự động, đã đi 39,000 km ... ",Mã: 5439868,2020.0,Xe đã dùng,Lắp ráp trong nước,SUV,Xăng  2.0 L,Đen,Đen,5 chỗ,5 cửa,"39,000 Km"
Mercedes Benz GLS 450 4Matic - 2023, Xe mới,4 Tỷ 979 Triệu,Hà Nội,https://bonbanh.com/xe-mercedes_benz-gls-450-4matic-2023-4236582," *Xe nhập khẩu, màu đen, máy xăng 3.0 L, số tự động ... ",Mã: 4236582,2023.0,Xe mới,Nhập khẩu,SUV,Xăng  3.0 L,Đen,Đen,7 chỗ,5 cửa,
Mercedes Benz Maybach GLS 600 4Matic - 2024, Xe mới,12 Tỷ 119 Triệu,Quảng Ninh,https://bonbanh.com/xe-mercedes_benz-maybach-gls-600-4matic-2024-4021588," *Xe nhập khẩu, màu ghi, máy xăng 4.0 L, số tự động ... ",Mã: 4021588,2024.0,Xe mới,Nhập khẩu,SUV,Xăng  4.0 L,Ghi,Kem,4 chỗ,5 cửa,
Lexus ES 250 F Sport - 2023, Xe cũ,2 Tỷ 399 Triệu,Hà Nội,https://bonbanh.com/xe-lexus-es-250-f-sport-2023-5278936," *Xe nhập khẩu, màu trắng, máy xăng 2.5 L, số tự động, đã đi 16,000 km ... ",Mã: 5278936,2023.0,Xe đã dùng,Nhập khẩu,Sedan,Xăng  2.5 L,Trắng,Nhiều màu,5 chỗ,4 cửa,"16,000 Km"
Kia Carens EX 2.0 MT - 2009, Xe cũ,235 Triệu,TP HCM,https://bonbanh.com/xe-kia-carens-ex-2.0-mt-2009-5324613," *Xe lắp ráp trong nước, màu bạc, máy xăng 2.0 L, số tay, đã đi 120,000 km ... ",Mã: 5324613,2009.0,Xe đã dùng,Lắp ráp trong nước,Crossover,Xăng  2.0 L,Bạc,Kem,7 chỗ,5 cửa,"120,000 Km"
Hyundai SantaFe 2.7L 4WD - 2008, Xe cũ,279 Triệu,TP HCM,https://bonbanh.com/xe-hyundai-santafe-2.7l-4wd-2008-5441271," *Xe nhập khẩu, màu bạc, máy xăng 2.7 L, số tự động, đã đi 155,000 km ... ",Mã: 5441271,2008.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  2.7 L,Bạc,Ghi,7 chỗ,5 cửa,"155,000 Km"
Mercedes Benz GL GL 350 CDI 4Matic - 2013, Xe cũ,1 Tỷ 290 Triệu,Hà Nội,https://bonbanh.com/xe-mercedes_benz-gl-gl-350-cdi-4matic-2013-5338878," *Xe nhập khẩu, màu đen, máy dầu 3.0 L, số tự động ... ",Mã: 5338878,2013.0,Xe đã dùng,Nhập khẩu,SUV,Dầu  3.0 L,Đen,Đen,7 chỗ,5 cửa,0 Km
Honda City RS 1.5 AT - 2021, Xe cũ,510 Triệu,TP HCM,https://bonbanh.com/xe-honda-city-rs-1.5-at-2021-5394979," *Xe lắp ráp trong nước, màu xanh, máy xăng 1.5 L, số tự động, đã đi 55,000 km ... ",Mã: 5394979,2021.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  1.5 L,Xanh,Đen,5 chỗ,4 cửa,"55,000 Km"
Toyota Innova 2.0E - 2016, Xe cũ,365 Triệu,TP HCM,https://bonbanh.com/xe-toyota-innova-2.0e-2016-5401346," *Xe lắp ráp trong nước, màu bạc, máy xăng 2.0 L, số tay, đã đi 80,000 km ... ",Mã: 5401346,2016.0,Xe đã dùng,Lắp ráp trong nước,Crossover,Xăng  2.0 L,Bạc,Kem,8 chỗ,5 cửa,"80,000 Km"
Hyundai i10 Grand 1.2 AT - 2019, Xe cũ,325 Triệu,TP HCM,https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2019-5254616," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.25 L, số tự động, đã đi 70,000 km ... ",Mã: 5254616,2019.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  1.25 L,Trắng,Nhiều màu,5 chỗ,4 cửa,"70,000 Km"
Mitsubishi Xpander Premium 1.5 AT - 2023, Xe mới,658 Triệu,Quảng Ninh,https://bonbanh.com/xe-mitsubishi-xpander-premium-1.5-at-2023-4437042," *Xe nhập khẩu, màu đen, máy xăng 1.5 L, số tự động ... ",Mã: 4437042,2023.0,Xe mới,Nhập khẩu,SUV,Xăng  1.5 L,Đen,Đen,7 chỗ,5 cửa,
VinFast VF5 Plus - 2023, Xe mới,468 Triệu,TP HCM,https://bonbanh.com/xe-vinfast-vf5-plus-2023-5060509," *Xe lắp ráp trong nước, màu xám, xe điện , số tự động ... ",Mã: 5060509,2023.0,Xe mới,Lắp ráp trong nước,SUV,Điện,Xám,Đen,5 chỗ,5 cửa,
Mazda CX5 Premium 2.0 AT - 2023, Xe mới,839 Triệu,Thanh Hóa,https://bonbanh.com/xe-mazda-cx5-premium-2.0-at-2023-5408485," *Xe lắp ráp trong nước, màu đỏ, máy xăng 2.0 L, số tự động ... ",Mã: 5408485,2023.0,Xe mới,Lắp ráp trong nước,SUV,Xăng  2.0 L,Đỏ,-,5 chỗ,5 cửa,
Kia Carnival Signature 2.2D - 2023, Xe mới,1 Tỷ 389 Triệu,Hà Nội,https://bonbanh.com/xe-kia-carnival-signature-2.2d-2023-5091548," *Xe lắp ráp trong nước, màu xanh, máy dầu 2.2 L, số tự động ... ",Mã: 5091548,2023.0,Xe mới,Lắp ráp trong nước,Van/Minivan,Dầu  2.2 L,Xanh,Màu khác,7 chỗ,5 cửa,
Lexus RX 350 - 2016, Xe cũ,2 Tỷ 500 Triệu,TP HCM,https://bonbanh.com/xe-lexus-rx-350-2016-5421005," *Xe nhập khẩu, màu đen, máy xăng 3.5 L, số tự động, đã đi 50,000 km ... ",Mã: 5421005,2016.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  3.5 L,Đen,Kem,5 chỗ,5 cửa,"50,000 Km"
Toyota Innova 2.0E - 2016, Xe cũ,318 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-innova-2.0e-2016-4919276," *Xe lắp ráp trong nước, màu vàng, máy xăng 2.0 L, số tay, đã đi 80,963 km ... ",Mã: 4919276,2016.0,Xe đã dùng,Lắp ráp trong nước,Crossover,Xăng  2.0 L,Vàng,Kem,8 chỗ,5 cửa,"80,963 Km"
Ford Ranger XLS 2.2L 4x2 MT - 2016, Xe cũ,378 Triệu,TP HCM,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-mt-2016-5444523," *Xe nhập khẩu, màu vàng, máy dầu 2.2 L, số tay ... ",Mã: 5444523,2016.0,Xe đã dùng,Nhập khẩu,Bán tải / Pickup,Dầu  2.2 L,Vàng,Đen,5 chỗ,4 cửa,0 Km
