Name,Condition,Price,Location,Link,Description,Car_code,Năm sản xuất:,Tình trạng:,Số Km đã đi:,Xuất xứ:,Kiểu dáng:,Động cơ:,Màu ngoại thất:,Màu nội thất:,Số chỗ ngồi:,Số cửa:
Honda CRV L - 2021, Xe cũ,879 Triệu,Hà Nội,https://bonbanh.com/xe-honda-crv-l-2021-5438642," *Xe lắp ráp trong nước, màu đỏ, máy xăng 1.5 L, số tự động, đã đi 42,000 km ... ",Mã: 5438642,2021.0,Xe đã dùng,"42,000 Km",Lắp ráp trong nước,SUV,Xăng  1.5 L,Đỏ,Đen,7 chỗ,5 cửa
Hyundai Accent 1.4 AT Đặc Biệt - 2022, Xe cũ,480 Triệu,Hải Phòng,https://bonbanh.com/xe-hyundai-accent-1.4-at-dac-biet-2022-5216443," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.4 L, số tự động, đã đi 20,000 km ... ",Mã: 5216443,2022.0,Xe đã dùng,"20,000 Km",Lắp ráp trong nước,Sedan,Xăng  1.4 L,Trắng,Nhiều màu,5 chỗ,4 cửa
Toyota Corolla altis 1.8V - 2022, Xe cũ,719 Triệu,Hải Phòng,https://bonbanh.com/xe-toyota-corolla_altis-1.8v-2022-5311714," *Xe nhập khẩu, màu đen, máy xăng 1.8 L, số tự động ... ",Mã: 5311714,2022.0,Xe đã dùng,0 Km,Nhập khẩu,Sedan,Xăng  1.8 L,Đen,Đen,5 chỗ,4 cửa
Hyundai Accent 1.4 AT Đặc Biệt - 2021, Xe cũ,448 Triệu,Bình Dương,https://bonbanh.com/xe-hyundai-accent-1.4-at-dac-biet-2021-5361007," *Xe lắp ráp trong nước, màu đỏ, máy xăng 1.4 L, số tự động, đã đi 52,000 km ... ",Mã: 5361007,2021.0,Xe đã dùng,"52,000 Km",Lắp ráp trong nước,Sedan,Xăng  1.4 L,Đỏ,Nhiều màu,5 chỗ,4 cửa
Toyota Corolla Cross 1.8V - 2021, Xe cũ,765 Triệu,Gia Lai,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2021-5396969," *Xe nhập khẩu, màu đen, máy xăng 1.8 L, số tự động, đã đi 36,000 km ... ",Mã: 5396969,2021.0,Xe đã dùng,"36,000 Km",Nhập khẩu,SUV,Xăng  1.8 L,Đen,Đen,5 chỗ,5 cửa
Ford Everest Titanium Plus 2.0L 4x4 AT - 2023, Xe mới,1 Tỷ 367 Triệu,TP HCM,https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2023-4516522," *Xe nhập khẩu, màu trắng, máy dầu 2.0 L, số tự động ... ",Mã: 4516522,2023.0,Xe mới,,Nhập khẩu,SUV,Dầu  2.0 L,Trắng,Nâu,7 chỗ,5 cửa
Hyundai Accent 1.4 MT - 2018, Xe cũ,342 Triệu,Hải Phòng,https://bonbanh.com/xe-hyundai-accent-1.4-mt-2018-5412600," *Xe lắp ráp trong nước, màu nâu, máy xăng 1.4 L, số tay ... ",Mã: 5412600,2018.0,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Xăng  1.4 L,Nâu,Nhiều màu,5 chỗ,4 cửa
Lexus LX 570 Super Sport - 2015, Xe cũ,3 Tỷ 450 Triệu,Hà Nội,https://bonbanh.com/xe-lexus-lx-570-super-sport-2015-5437124," *Xe nhập khẩu, màu vàng, máy xăng 5.7 L, số tự động, đã đi 81,600 km ... ",Mã: 5437124,2015.0,Xe đã dùng,"81,600 Km",Nhập khẩu,SUV,Xăng  5.7 L,Vàng,Kem,7 chỗ,5 cửa
Hyundai Accent 1.4 AT - 2023, Xe mới,460 Triệu,Hà Nội,https://bonbanh.com/xe-hyundai-accent-1.4-at-2023-5234920," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.4 L, số tự động ... ",Mã: 5234920,2023.0,Xe mới,,Lắp ráp trong nước,Sedan,Xăng  1.4 L,Trắng,Kem,5 chỗ,4 cửa
Ford EcoSport Titanium 1.5L AT - 2015, Xe cũ,315 Triệu,Hà Nội,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2015-5295037," *Xe lắp ráp trong nước, màu đỏ, máy xăng 1.5 L, số tự động, đã đi 120,000 km ... ",Mã: 5295037,2015.0,Xe đã dùng,"120,000 Km",Lắp ráp trong nước,SUV,Xăng  1.5 L,Đỏ,Đen,5 chỗ,5 cửa
Mercedes Benz C class C200 - 2018, Xe cũ,850 Triệu,Hà Nội,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2018-5406279," *Xe lắp ráp trong nước, màu xanh, máy xăng 2.0 L, số tự động, đã đi 79,000 km ... ",Mã: 5406279,2018.0,Xe đã dùng,"79,000 Km",Lắp ráp trong nước,Sedan,Xăng  2.0 L,Xanh,Đen,5 chỗ,4 cửa
Suzuki XL7 Sport Limited 1.5 AT - 2022, Xe cũ,548 Triệu,TP HCM,https://bonbanh.com/xe-suzuki-xl7-sport-limited-1.5-at-2022-5222672," *Xe nhập khẩu, màu đỏ, máy xăng 1.5 L, số tự động, đã đi 17,000 km ... ",Mã: 5222672,2022.0,Xe đã dùng,"17,000 Km",Nhập khẩu,SUV,Xăng  1.5 L,Đỏ,Cam,7 chỗ,5 cửa
MG ZS Standard 1.5 AT 2WD - 2023, Xe mới,538 Triệu,TP HCM,https://bonbanh.com/xe-mg-zs-standard-1.5-at-2wd-2023-5238397," *Xe nhập khẩu, màu đen, máy xăng 1.5 L, số tự động ... ",Mã: 5238397,2023.0,Xe mới,,Nhập khẩu,Crossover,Xăng  1.5 L,Đen,Đen,5 chỗ,5 cửa
Toyota Fortuner 2.7V 4X2 AT - 2016, Xe cũ,540 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2016-5423217," *Xe lắp ráp trong nước, màu bạc, máy xăng 2.7 L, số tự động, đã đi 72,000 km ... ",Mã: 5423217,2016.0,Xe đã dùng,"72,000 Km",Lắp ráp trong nước,SUV,Xăng  2.7 L,Bạc,Kem,7 chỗ,5 cửa
Toyota Camry 2.5Q - 2018, Xe cũ,770 Triệu,TP HCM,https://bonbanh.com/xe-toyota-camry-2.5q-2018-5400542," *Xe lắp ráp trong nước, màu bạc, máy xăng 2.5 L, số tự động, đã đi 62,996 km ... ",Mã: 5400542,2018.0,Xe đã dùng,"62,996 Km",Lắp ráp trong nước,Sedan,Xăng  2.5 L,Bạc,Nâu,5 chỗ,4 cửa
Peugeot Traveller Premium - 2023, Xe mới,1 Tỷ 579 Triệu,TP HCM,https://bonbanh.com/xe-peugeot-traveller-premium-2023-5102803," *Xe lắp ráp trong nước, màu trắng, máy dầu 2.0 L, số tự động ... ",Mã: 5102803,2023.0,Xe mới,,Lắp ráp trong nước,Van/Minivan,Dầu  2.0 L,Trắng,Đen,6 chỗ,5 cửa
Hyundai Universe - 2024, Xe mới,2 Tỷ 950 Triệu,Ninh Bình,https://bonbanh.com/xe-hyundai-universe--2024-5338702," *Xe lắp ráp trong nước, màu trắng, máy dầu , số tay ... ",Mã: 5338702,2024.0,Xe mới,,Lắp ráp trong nước,Van/Minivan,Dầu,Trắng,Ghi,47 chỗ,1 cửa
Hyundai Accent 1.4 AT - 2020, Xe cũ,405 Triệu,Hải Phòng,https://bonbanh.com/xe-hyundai-accent-1.4-at-2020-5404080," *Xe lắp ráp trong nước, màu nâu, máy xăng 1.4 L, số tự động ... ",Mã: 5404080,2020.0,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Xăng  1.4 L,Nâu,Kem,5 chỗ,4 cửa
Jeep Wrangler Rubicon 2.0 4x4 AT - 2021, Xe mới,4 Tỷ 88 Triệu,TP HCM,https://bonbanh.com/xe-jeep-wrangler-rubicon-2.0-4x4-at-2021-4303018," *Xe nhập khẩu, màu vàng, máy xăng 2.0 L, số tự động ... ",Mã: 4303018,2021.0,Xe mới,,Nhập khẩu,SUV,Xăng  2.0 L,Vàng,Đen,5 chỗ,5 cửa
Mitsubishi Xpander Cross 1.5 AT - 2021, Xe cũ,586 Triệu,TP HCM,https://bonbanh.com/xe-mitsubishi-xpander-cross-1.5-at-2021-5404282," *Xe nhập khẩu, màu cam, máy xăng 1.5 L, số tự động, đã đi 35,000 km ... ",Mã: 5404282,2021.0,Xe đã dùng,"35,000 Km",Nhập khẩu,SUV,Xăng  1.5 L,Cam,Đen,7 chỗ,5 cửa
Kia Morning Luxury - 2019, Xe cũ,325 Triệu,Tuyên Quang,https://bonbanh.com/xe-kia-morning-luxury-2019-5408860," *Xe lắp ráp trong nước, màu bạc, máy xăng 1.25 L, số tự động, đã đi 41,000 km ... ",Mã: 5408860,2019.0,Xe đã dùng,"41,000 Km",Lắp ráp trong nước,Hatchback,Xăng  1.25 L,Bạc,Kem,5 chỗ,5 cửa
Audi A8 L 55 TFSI Quattro - 2022, Xe mới,5 Tỷ 220 Triệu,Hà Nội,https://bonbanh.com/xe-audi-a8-l-55-tfsi-quattro-2022-4460927," *Xe nhập khẩu, màu xanh, máy xăng 3.0 L, số tự động ... ",Mã: 4460927,2022.0,Xe mới,,Nhập khẩu,Sedan,Xăng  3.0 L,Xanh,Đen,5 chỗ,4 cửa
Nissan Navara EL A-IVI 2.5 AT 2WD - 2020, Xe cũ,485 Triệu,Hà Nội,https://bonbanh.com/xe-nissan-navara-el-a-ivi-2.5-at-2wd-2020-5424041," *Xe nhập khẩu, màu trắng, máy dầu 2.5 L, số tự động, đã đi 64,000 km ... ",Mã: 5424041,2020.0,Xe đã dùng,"64,000 Km",Nhập khẩu,Bán tải / Pickup,Dầu  2.5 L,Trắng,Kem,5 chỗ,4 cửa
Toyota Vios E CVT - 2022, Xe cũ,495 Triệu,TP HCM,https://bonbanh.com/xe-toyota-vios-e-cvt-2022-5437984," *Xe lắp ráp trong nước, màu đồng, máy xăng 1.5 L, số tự động, đã đi 13,478 km ... ",Mã: 5437984,2022.0,Xe đã dùng,"13,478 Km",Lắp ráp trong nước,Sedan,Xăng  1.5 L,Đồng,Nhiều màu,5 chỗ,4 cửa
Mazda 2 Luxury - 2021, Xe cũ,455 Triệu,Hà Nội,https://bonbanh.com/xe-mazda-2-luxury-2021-5406042," *Xe nhập khẩu, màu xanh, máy xăng 1.5 L, số tự động, đã đi 24,000 km ... ",Mã: 5406042,2021.0,Xe đã dùng,"24,000 Km",Nhập khẩu,Sedan,Xăng  1.5 L,Xanh,Ghi,5 chỗ,4 cửa
Hyundai SantaFe Cao cấp 2.5L HTRAC - 2022, Xe cũ,1 Tỷ 90 Triệu,Hải Phòng,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.5l-htrac-2022-5258464," *Xe lắp ráp trong nước, màu trắng, máy xăng 2.5 L, số tự động, đã đi 10,000 km ... ",Mã: 5258464,2022.0,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,SUV,Xăng  2.5 L,Trắng,-,7 chỗ,5 cửa
Mazda 3 1.5L Sport Premium - 2022, Xe cũ,670 Triệu,Hà Nội,https://bonbanh.com/xe-mazda-3-1.5l-sport-premium-2022-5411289," *Xe lắp ráp trong nước, màu xanh, máy xăng 1.5 L, số tự động, đã đi 14,000 km ... ",Mã: 5411289,2022.0,Xe đã dùng,"14,000 Km",Lắp ráp trong nước,Hatchback,Xăng  1.5 L,Xanh,Đen,5 chỗ,5 cửa
Mazda CX5 2.0 Premium - 2019, Xe cũ,735 Triệu,Hà Nội,https://bonbanh.com/xe-mazda-cx5-2.0-premium-2019-5429365," *Xe lắp ráp trong nước, màu xanh, máy xăng 2.0 L, số tự động, đã đi 33,000 km ... ",Mã: 5429365,2019.0,Xe đã dùng,"33,000 Km",Lắp ráp trong nước,SUV,Xăng  2.0 L,Xanh,Đen,5 chỗ,5 cửa
Chevrolet Spark Van 1.0 AT - 2011, Xe cũ,135 Triệu,Hải Phòng,https://bonbanh.com/xe-chevrolet-spark-van-1.0-at-2011-5273334," *Xe nhập khẩu, màu trắng, máy xăng 1.0 L, số tự động, đã đi 90,000 km ... ",Mã: 5273334,2011.0,Xe đã dùng,"90,000 Km",Nhập khẩu,Van/Minivan,Xăng  1.0 L,Trắng,Đen,2 chỗ,5 cửa
Toyota Innova 2.0G - 2014, Xe cũ,430 Triệu,TP HCM,https://bonbanh.com/xe-toyota-innova-2.0g-2014-5398590," *Xe lắp ráp trong nước, màu cát, máy xăng 2.0 L, số tự động, đã đi 88,676 km ... ",Mã: 5398590,2014.0,Xe đã dùng,"88,676 Km",Lắp ráp trong nước,Crossover,Xăng  2.0 L,Cát,Kem,8 chỗ,5 cửa
Toyota Camry LE 2.5 - 2010, Xe cũ,485 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-camry-le-2.5-2010-5410819," *Xe nhập khẩu, màu đen, máy xăng 2.5 L, số tự động, đã đi 98,000 km ... ",Mã: 5410819,2010.0,Xe đã dùng,"98,000 Km",Nhập khẩu,Sedan,Xăng  2.5 L,Đen,Kem,5 chỗ,4 cửa
Kia K3 Premium 2.0 AT - 2022, Xe cũ,595 Triệu,Hà Nội,https://bonbanh.com/xe-kia-k3-premium-2.0-at-2022-5435020," *Xe lắp ráp trong nước, màu xám, máy xăng 2.0 L, số tự động, đã đi 60,000 km ... ",Mã: 5435020,2022.0,Xe đã dùng,"60,000 Km",Lắp ráp trong nước,Sedan,Xăng  2.0 L,Xám,Nhiều màu,5 chỗ,4 cửa
Kia K3 Luxury 1.6 AT - 2022, Xe cũ,585 Triệu,Hà Nội,https://bonbanh.com/xe-kia-k3-luxury-1.6-at-2022-5415046," *Xe lắp ráp trong nước, màu đỏ, máy xăng 1.6 L, số tự động, đã đi 48,000 km ... ",Mã: 5415046,2022.0,Xe đã dùng,"48,000 Km",Lắp ráp trong nước,Sedan,Xăng  1.6 L,Đỏ,Nhiều màu,5 chỗ,4 cửa
Mazda CX5 2.0 AT - 2019, Xe cũ,675 Triệu,Hà Nội,https://bonbanh.com/xe-mazda-cx5-2.0-at-2019-5445111," *Xe lắp ráp trong nước, màu đỏ, máy xăng 2.0 L, số tự động, đã đi 67,000 km ... ",Mã: 5445111,2019.0,Xe đã dùng,"67,000 Km",Lắp ráp trong nước,SUV,Xăng  2.0 L,Đỏ,Trắng,5 chỗ,5 cửa
Toyota Fortuner 2.5G - 2016, Xe cũ,615 Triệu,Phú Thọ,https://bonbanh.com/xe-toyota-fortuner-2.5g-2016-5425674," *Xe lắp ráp trong nước, màu bạc, máy dầu 2.5 L, số tay, đã đi 93,000 km ... ",Mã: 5425674,2016.0,Xe đã dùng,"93,000 Km",Lắp ráp trong nước,SUV,Dầu  2.5 L,Bạc,Kem,7 chỗ,5 cửa
Toyota Fortuner 2.5G - 2016, Xe cũ,595 Triệu,TP HCM,https://bonbanh.com/xe-toyota-fortuner-2.5g-2016-5429158," *Xe lắp ráp trong nước, màu xám, máy dầu 2.5 L, số tay, đã đi 120,000 km ... ",Mã: 5429158,2016.0,Xe đã dùng,"120,000 Km",Lắp ráp trong nước,SUV,Dầu  2.5 L,Xám,Kem,7 chỗ,5 cửa
Mazda BT50 3.2L 4x4 AT - 2015, Xe cũ,390 Triệu,Hà Nội,https://bonbanh.com/xe-mazda-bt50-3.2l-4x4-at-2015-5433750," *Xe nhập khẩu, màu xanh, máy dầu 3.2 L, số tự động, đã đi 11,000 km ... ",Mã: 5433750,2015.0,Xe đã dùng,"11,000 Km",Nhập khẩu,Bán tải / Pickup,Dầu  3.2 L,Xanh,Ghi,5 chỗ,4 cửa
Hyundai SantaFe Premium 2.2L HTRAC - 2020, Xe cũ,955 Triệu,Hà Nội,https://bonbanh.com/xe-hyundai-santafe-premium-2.2l-htrac-2020-5413525," *Xe lắp ráp trong nước, màu đỏ, máy dầu 2.2 L, số tự động, đã đi 40,000 km ... ",Mã: 5413525,2020.0,Xe đã dùng,"40,000 Km",Lắp ráp trong nước,SUV,Dầu  2.2 L,Đỏ,Nâu,7 chỗ,5 cửa
Ford Ranger XLS 2.2L 4x2 AT - 2018, Xe cũ,520 Triệu,Hà Nội,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2018-5421961," *Xe nhập khẩu, màu vàng, máy dầu 2.2 L, số tự động, đã đi 76,000 km ... ",Mã: 5421961,2018.0,Xe đã dùng,"76,000 Km",Nhập khẩu,Bán tải / Pickup,Dầu  2.2 L,Vàng,Màu khác,5 chỗ,4 cửa
Mazda CX5 Luxury 2.0 AT - 2021, Xe cũ,765 Triệu,Hà Nội,https://bonbanh.com/xe-mazda-cx5-luxury-2.0-at-2021-5429233," *Xe lắp ráp trong nước, màu trắng, máy xăng 2.0 L, số tự động, đã đi 52,000 km ... ",Mã: 5429233,2021.0,Xe đã dùng,"52,000 Km",Lắp ráp trong nước,SUV,Xăng  2.0 L,Trắng,Đen,5 chỗ,5 cửa
Toyota Vios 1.5E - 2013, Xe cũ,180 Triệu,Quảng Bình,https://bonbanh.com/xe-toyota-vios-1.5e-2013-5401218," *Xe lắp ráp trong nước, màu xanh, máy xăng 1.5 L, số tay, đã đi 160,000 km ... ",Mã: 5401218,2013.0,Xe đã dùng,"160,000 Km",Lắp ráp trong nước,Sedan,Xăng  1.5 L,Xanh,Kem,5 chỗ,4 cửa
Hyundai SantaFe Cao cấp 2.5L HTRAC - 2021, Xe cũ,1 Tỷ 80 Triệu,Hà Nội,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.5l-htrac-2021-5424119," *Xe lắp ráp trong nước, màu đỏ, máy xăng 2.5 L, số tự động, đã đi 33,000 km ... ",Mã: 5424119,2021.0,Xe đã dùng,"33,000 Km",Lắp ráp trong nước,SUV,Xăng  2.5 L,Đỏ,Nâu,7 chỗ,5 cửa
Ford Ranger Wildtrak 3.2L 4x4 AT - 2016, Xe cũ,545 Triệu,Hà Nội,https://bonbanh.com/xe-ford-ranger-wildtrak-3.2l-4x4-at-2016-5437980," *Xe nhập khẩu, màu cam, máy dầu 3.2 L, số tự động, đã đi 110,000 km ... ",Mã: 5437980,2016.0,Xe đã dùng,"110,000 Km",Nhập khẩu,Bán tải / Pickup,Dầu  3.2 L,Cam,Nhiều màu,5 chỗ,4 cửa
Mitsubishi Xpander Premium 1.5 AT - 2024, Xe mới,658 Triệu,Cần Thơ,https://bonbanh.com/xe-mitsubishi-xpander-premium-1.5-at-2024-5392639," *Xe nhập khẩu, màu trắng, máy xăng 1.5 L, số tự động ... ",Mã: 5392639,2024.0,Xe mới,,Nhập khẩu,SUV,Xăng  1.5 L,Trắng,Đen,7 chỗ,5 cửa
Hyundai Kona 2.0 ATH - 2019, Xe cũ,520 Triệu,Hà Nội,https://bonbanh.com/xe-hyundai-kona-2.0-ath-2019-5389591," *Xe lắp ráp trong nước, màu xanh, máy xăng 2.0 L, số tự động, đã đi 39,000 km ... ",Mã: 5389591,2019.0,Xe đã dùng,"39,000 Km",Lắp ráp trong nước,Crossover,Xăng  2.0 L,Xanh,Đen,5 chỗ,5 cửa
Kia Cerato 1.6 AT - 2010, Xe cũ,259 Triệu,TP HCM,https://bonbanh.com/xe-kia-cerato-1.6-at-2010-5192803," *Xe nhập khẩu, màu xám, máy xăng 1.6 L, số tự động, đã đi 68,000 km ... ",Mã: 5192803,2010.0,Xe đã dùng,"68,000 Km",Nhập khẩu,Sedan,Xăng  1.6 L,Xám,Đen,5 chỗ,4 cửa
Volkswagen Polo 1.6 AT - 2016, Xe cũ,350 Triệu,Bình Dương,https://bonbanh.com/xe-volkswagen-polo-1.6-at-2016-5401141," *Xe nhập khẩu, màu vàng, máy xăng 1.6 L, số tự động ... ",Mã: 5401141,2016.0,Xe đã dùng,0 Km,Nhập khẩu,Hatchback,Xăng  1.6 L,Vàng,Đen,5 chỗ,5 cửa
Mitsubishi Attrage 1.2 MT - 2023, Xe mới,380 Triệu,Cần Thơ,https://bonbanh.com/xe-mitsubishi-attrage-1.2-mt-2023-5005078," *Xe nhập khẩu, màu trắng, máy xăng 1.2 L, số tay ... ",Mã: 5005078,2023.0,Xe mới,,Nhập khẩu,Sedan,Xăng  1.2 L,Trắng,Đen,5 chỗ,4 cửa
Hyundai i10 Grand 1.2 AT - 2020, Xe cũ,365 Triệu,Hà Nội,https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2020-5436481," *Xe lắp ráp trong nước, màu đỏ, máy xăng 1.25 L, số tự động, đã đi 50,000 km ... ",Mã: 5436481,2020.0,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,Hatchback,Xăng  1.25 L,Đỏ,Nhiều màu,5 chỗ,5 cửa
Mazda CX5 Luxury 2.0 AT - 2021, Xe cũ,755 Triệu,Hà Nội,https://bonbanh.com/xe-mazda-cx5-luxury-2.0-at-2021-5436514," *Xe lắp ráp trong nước, màu đỏ, máy xăng 2.0 L, số tự động, đã đi 35,000 km ... ",Mã: 5436514,2021.0,Xe đã dùng,"35,000 Km",Lắp ráp trong nước,SUV,Xăng  2.0 L,Đỏ,Đen,5 chỗ,5 cửa
Hyundai Elantra 2.0 AT - 2018, Xe cũ,455 Triệu,Hải Phòng,https://bonbanh.com/xe-hyundai-elantra-2.0-at-2018-5439211," *Xe lắp ráp trong nước, màu trắng, máy xăng 2.0 L, số tự động ... ",Mã: 5439211,2018.0,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Xăng  2.0 L,Trắng,Xám,5 chỗ,4 cửa
Hyundai i10 Grand 1.2 AT - 2020, Xe cũ,335 Triệu,Hà Nội,https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2020-5418243," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.25 L, số tự động, đã đi 40,000 km ... ",Mã: 5418243,2020.0,Xe đã dùng,"40,000 Km",Lắp ráp trong nước,Sedan,Xăng  1.25 L,Trắng,Nhiều màu,5 chỗ,4 cửa
VinFast VF5 Plus - 2023, Xe mới,458 Triệu,Hà Nội,https://bonbanh.com/xe-vinfast-vf5-plus-2023-5272595," *Xe lắp ráp trong nước, màu xanh, xe điện , số tự động ... ",Mã: 5272595,2023.0,Xe mới,,Lắp ráp trong nước,SUV,Điện,Xanh,Nhiều màu,5 chỗ,5 cửa
Ford Everest Titanium Plus 2.0L 4x4 AT - 2022, Xe cũ,1 Tỷ 365 Triệu,Hà Nội,https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2022-5348852," *Xe nhập khẩu, màu nâu, máy dầu 2.0 L, số tự động ... ",Mã: 5348852,2022.0,Xe đã dùng,0 Km,Nhập khẩu,SUV,Dầu  2.0 L,Nâu,Đen,7 chỗ,5 cửa
Honda CRV L - 2024, Xe mới,1 Tỷ 159 Triệu,TP HCM,https://bonbanh.com/xe-honda-crv-l-2024-5384943," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.5 L, số tự động ... ",Mã: 5384943,2024.0,Xe mới,,Lắp ráp trong nước,SUV,Xăng  1.5 L,Trắng,Đen,7 chỗ,5 cửa
VinFast VF8 Plus - 2023, Xe mới,1 Tỷ 120 Triệu,Hà Nội,https://bonbanh.com/xe-vinfast-vf8-plus-2023-4860135," *Xe lắp ráp trong nước, màu cam, xe điện , số tự động ... ",Mã: 4860135,2023.0,Xe mới,,Lắp ráp trong nước,SUV,Điện  0.2 L,Cam,Màu khác,5 chỗ,5 cửa
